name,site,city,longitude,latitude
高碑店站,地铁八通线,北京,115.858715,39.329044
传媒大学站,地铁八通线,北京,116.554639,39.909215
双桥站,地铁八通线,北京,116.569999,39.900706
管庄站,地铁八通线,北京,116.599002,39.90909
八里桥站,地铁八通线,北京,116.618658,39.906121
通州北苑站,地铁八通线,北京,116.637252,39.903864
果园站,地铁八通线,北京,116.646621,39.893329
梨园站,地铁八通线,北京,116.66872,39.883677
临河里站,地铁八通线,北京,116.678811,39.875496
土桥站,地铁八通线,北京,116.686349,39.871926
西二旗站,地铁昌平线,北京,116.306295,40.053034
生命科学园站,地铁昌平线,北京,116.29423,40.09479
朱辛庄站,地铁昌平线,北京,116.313698,40.104297
沙河站,地铁昌平线,北京,116.288865,40.148278
沙河高教园站,地铁昌平线,北京,116.280465,40.164666
南邵站,地铁昌平线,北京,116.287534,40.207484
北邵洼站,地铁昌平线,北京,116.281949,40.222001
昌平东关站,地铁昌平线,北京,116.262059,40.221726
昌平站,地铁昌平线,北京,116.192482,40.191145
十三陵景区站,地铁昌平线,北京,116.207637,40.240214
昌平西山口站,地铁昌平线,北京,116.195369,40.244629
苏庄站,地铁房山线,北京,116.125306,39.723188
良乡南关站,地铁房山线,北京,116.140804,39.723202
良乡大学城西站,地铁房山线,北京,116.156282,39.723157
良乡大学城站,地铁房山线,北京,116.176541,39.723159
良乡大学城北站,地铁房山线,北京,116.18348,39.729906
篱笆房站,地铁房山线,北京,116.189486,39.760636
长阳站,地铁房山线,北京,116.212692,39.763871
稻田站,地铁房山线,北京,116.21884,39.794885
大葆台站,地铁房山线,北京,116.291681,39.80781
郭公庄站,地铁房山线,北京,116.301889,39.814322
宋家庄站,地铁亦庄线,北京,116.428368,39.845849
肖村站,地铁亦庄线,北京,116.448364,39.834217
小红门站,地铁亦庄线,北京,116.459226,39.827951
旧宫站,地铁亦庄线,北京,116.460789,39.80691
亦庄桥站,地铁亦庄线,北京,116.480307,39.803011
亦庄文化园站,地铁亦庄线,北京,116.490632,39.80689
万源街站,地铁亦庄线,北京,116.505446,39.802921
荣京东街站,地铁亦庄线,北京,116.51339,39.793132
荣昌东街站,地铁亦庄线,北京,116.521737,39.782799
